Episode,Episode Score,Environment,Max Episodes,Learning Rate,Gamma,Hidden Layers,Seed
1,44.0,CartPole-v1,100000.0,0.0001,0.99,4,3
2,18.0,CartPole-v1,100000.0,0.0001,0.99,4,3
3,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
4,10.0,CartPole-v1,100000.0,0.0001,0.99,4,3
5,13.0,CartPole-v1,100000.0,0.0001,0.99,4,3
6,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
7,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
8,18.0,CartPole-v1,100000.0,0.0001,0.99,4,3
9,45.0,CartPole-v1,100000.0,0.0001,0.99,4,3
10,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
11,21.0,CartPole-v1,100000.0,0.0001,0.99,4,3
12,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
13,9.0,CartPole-v1,100000.0,0.0001,0.99,4,3
14,48.0,CartPole-v1,100000.0,0.0001,0.99,4,3
15,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
16,9.0,CartPole-v1,100000.0,0.0001,0.99,4,3
17,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
18,15.0,CartPole-v1,100000.0,0.0001,0.99,4,3
19,13.0,CartPole-v1,100000.0,0.0001,0.99,4,3
20,13.0,CartPole-v1,100000.0,0.0001,0.99,4,3
21,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
22,15.0,CartPole-v1,100000.0,0.0001,0.99,4,3
23,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
24,18.0,CartPole-v1,100000.0,0.0001,0.99,4,3
25,11.0,CartPole-v1,100000.0,0.0001,0.99,4,3
26,15.0,CartPole-v1,100000.0,0.0001,0.99,4,3
27,22.0,CartPole-v1,100000.0,0.0001,0.99,4,3
28,28.0,CartPole-v1,100000.0,0.0001,0.99,4,3
29,22.0,CartPole-v1,100000.0,0.0001,0.99,4,3
30,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
31,36.0,CartPole-v1,100000.0,0.0001,0.99,4,3
32,11.0,CartPole-v1,100000.0,0.0001,0.99,4,3
33,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
34,42.0,CartPole-v1,100000.0,0.0001,0.99,4,3
35,17.0,CartPole-v1,100000.0,0.0001,0.99,4,3
36,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
37,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
38,18.0,CartPole-v1,100000.0,0.0001,0.99,4,3
39,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
40,13.0,CartPole-v1,100000.0,0.0001,0.99,4,3
41,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
42,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
43,66.0,CartPole-v1,100000.0,0.0001,0.99,4,3
44,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
45,18.0,CartPole-v1,100000.0,0.0001,0.99,4,3
46,18.0,CartPole-v1,100000.0,0.0001,0.99,4,3
47,11.0,CartPole-v1,100000.0,0.0001,0.99,4,3
48,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
49,87.0,CartPole-v1,100000.0,0.0001,0.99,4,3
50,10.0,CartPole-v1,100000.0,0.0001,0.99,4,3
51,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
52,13.0,CartPole-v1,100000.0,0.0001,0.99,4,3
53,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
54,13.0,CartPole-v1,100000.0,0.0001,0.99,4,3
55,10.0,CartPole-v1,100000.0,0.0001,0.99,4,3
56,17.0,CartPole-v1,100000.0,0.0001,0.99,4,3
57,29.0,CartPole-v1,100000.0,0.0001,0.99,4,3
58,22.0,CartPole-v1,100000.0,0.0001,0.99,4,3
59,23.0,CartPole-v1,100000.0,0.0001,0.99,4,3
60,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
61,20.0,CartPole-v1,100000.0,0.0001,0.99,4,3
62,17.0,CartPole-v1,100000.0,0.0001,0.99,4,3
63,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
64,18.0,CartPole-v1,100000.0,0.0001,0.99,4,3
65,11.0,CartPole-v1,100000.0,0.0001,0.99,4,3
66,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
67,20.0,CartPole-v1,100000.0,0.0001,0.99,4,3
68,15.0,CartPole-v1,100000.0,0.0001,0.99,4,3
69,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
70,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
71,23.0,CartPole-v1,100000.0,0.0001,0.99,4,3
72,29.0,CartPole-v1,100000.0,0.0001,0.99,4,3
73,15.0,CartPole-v1,100000.0,0.0001,0.99,4,3
74,21.0,CartPole-v1,100000.0,0.0001,0.99,4,3
75,40.0,CartPole-v1,100000.0,0.0001,0.99,4,3
76,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
77,30.0,CartPole-v1,100000.0,0.0001,0.99,4,3
78,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
79,13.0,CartPole-v1,100000.0,0.0001,0.99,4,3
80,25.0,CartPole-v1,100000.0,0.0001,0.99,4,3
81,9.0,CartPole-v1,100000.0,0.0001,0.99,4,3
82,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
83,31.0,CartPole-v1,100000.0,0.0001,0.99,4,3
84,22.0,CartPole-v1,100000.0,0.0001,0.99,4,3
85,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
86,24.0,CartPole-v1,100000.0,0.0001,0.99,4,3
87,17.0,CartPole-v1,100000.0,0.0001,0.99,4,3
88,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
89,21.0,CartPole-v1,100000.0,0.0001,0.99,4,3
90,26.0,CartPole-v1,100000.0,0.0001,0.99,4,3
91,10.0,CartPole-v1,100000.0,0.0001,0.99,4,3
92,23.0,CartPole-v1,100000.0,0.0001,0.99,4,3
93,17.0,CartPole-v1,100000.0,0.0001,0.99,4,3
94,10.0,CartPole-v1,100000.0,0.0001,0.99,4,3
95,40.0,CartPole-v1,100000.0,0.0001,0.99,4,3
96,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
97,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
98,41.0,CartPole-v1,100000.0,0.0001,0.99,4,3
99,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
100,34.0,CartPole-v1,100000.0,0.0001,0.99,4,3
101,22.0,CartPole-v1,100000.0,0.0001,0.99,4,3
102,28.0,CartPole-v1,100000.0,0.0001,0.99,4,3
103,33.0,CartPole-v1,100000.0,0.0001,0.99,4,3
104,23.0,CartPole-v1,100000.0,0.0001,0.99,4,3
105,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
106,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
107,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
108,20.0,CartPole-v1,100000.0,0.0001,0.99,4,3
109,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
110,11.0,CartPole-v1,100000.0,0.0001,0.99,4,3
111,11.0,CartPole-v1,100000.0,0.0001,0.99,4,3
112,11.0,CartPole-v1,100000.0,0.0001,0.99,4,3
113,31.0,CartPole-v1,100000.0,0.0001,0.99,4,3
114,24.0,CartPole-v1,100000.0,0.0001,0.99,4,3
115,21.0,CartPole-v1,100000.0,0.0001,0.99,4,3
116,23.0,CartPole-v1,100000.0,0.0001,0.99,4,3
117,29.0,CartPole-v1,100000.0,0.0001,0.99,4,3
118,22.0,CartPole-v1,100000.0,0.0001,0.99,4,3
119,14.0,CartPole-v1,100000.0,0.0001,0.99,4,3
120,40.0,CartPole-v1,100000.0,0.0001,0.99,4,3
121,19.0,CartPole-v1,100000.0,0.0001,0.99,4,3
122,17.0,CartPole-v1,100000.0,0.0001,0.99,4,3
123,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
124,20.0,CartPole-v1,100000.0,0.0001,0.99,4,3
125,27.0,CartPole-v1,100000.0,0.0001,0.99,4,3
126,12.0,CartPole-v1,100000.0,0.0001,0.99,4,3
127,44.0,CartPole-v1,100000.0,0.0001,0.99,4,3
128,16.0,CartPole-v1,100000.0,0.0001,0.99,4,3
